# .test .cputime .temperature .time_mat1 .time_mat2
412 0.327816  7.305 0.005772 0.008892
413 0.328603  9.253 0.005847 0.008938
414 0.328576  8.279 0.005821 0.008993
415 0.330206  8.279 0.005925 0.009019
416 0.328878  7.792 0.005942 0.009078
417 0.330826  9.253 0.005942 0.009120
418 0.330951  7.305 0.005993 0.009185
419 0.332135  7.305 0.006035 0.009192
420 0.333015  8.766 0.006057 0.009260
421 0.332883  8.766 0.006075 0.009289
422 0.333451  8.766 0.006027 0.009370
423 0.334725  8.766 0.006133 0.009384
424 0.335338  8.766 0.006153 0.009512
425 0.335850  9.253 0.006190 0.009544
426 0.336499  8.766 0.006185 0.009546
427 0.337931  8.279 0.006167 0.009619
428 0.338291  7.792 0.006236 0.009599
429 0.338930  8.279 0.006222 0.009655
430 0.339729  7.792 0.006278 0.009769
431 0.340667  7.792 0.006298 0.009766
432 0.342887  9.253 0.006320 0.009830
433 0.342589  8.279 0.006322 0.009925
434 0.343026  8.766 0.006347 0.009936
435 0.343757  8.279 0.006383 0.009960
436 0.344579  8.766 0.006409 0.009994
437 0.345251  8.766 0.006368 0.010127
438 0.344879  9.253 0.006467 0.010083
439 0.347592  8.766 0.006456 0.010145
440 0.346889  8.766 0.006529 0.010346
441 0.348183  8.279 0.006475 0.010237
442 0.349999  9.253 0.006587 0.010316
443 0.351480  8.279 0.006540 0.010333
444 0.351970  8.279 0.006634 0.010408
445 0.420084  8.766 0.006648 0.010433
446 0.354225  8.279 0.006721 0.010574
447 0.348134  9.253 0.006659 0.010597
448 0.362410  8.279 0.006764 0.010598
449 0.349812  8.279 0.006705 0.010687
450 0.350557  8.279 0.006818 0.010726
451 0.351164  8.766 0.006807 0.010742
452 0.353141  9.253 0.006834 0.010937
453 0.354210  8.766 0.006865 0.010816
454 0.355482  8.279 0.006947 0.010943
455 0.353363  8.766 0.006921 0.010968
456 0.354660  8.279 0.007011 0.010978
457 0.353899  8.766 0.007003 0.011014
458 0.354925  9.740 0.006961 0.011128
459 0.356926  7.792 0.007069 0.011128
460 0.371850  9.253 0.007117 0.011292
461 0.361374  8.766 0.007114 0.011246
462 0.360901  7.792 0.007181 0.011434
463 0.375795 10.227 0.007127 0.011362
464 0.359924 10.227 0.007233 0.011407
465 0.360025  8.766 0.007219 0.011399
466 0.364934  7.792 0.007311 0.011556
467 0.362437  9.253 0.007312 0.011593
468 0.361993  8.766 0.007388 0.011633
469 0.364051  9.253 0.007337 0.011869
470 0.365317 10.714 0.007421 0.011662
471 0.366128  8.766 0.007437 0.011731
472 0.368892  9.740 0.007485 0.011842
473 0.370129  9.740 0.007626 0.011865
474 0.381282  9.253 0.007537 0.011946
475 0.370701  9.253 0.007555 0.012008
476 0.386089  9.740 0.007600 0.012046
477 0.369756  9.740 0.007593 0.012056
478 0.369287  8.766 0.007649 0.012121
479 0.371536  9.740 0.007703 0.012182
480 0.371682  9.740 0.007717 0.012237
481 0.376160  9.253 0.007761 0.012359
482 0.378326  9.740 0.007789 0.012336
483 0.375681  9.253 0.007839 0.012386
484 0.377341  9.740 0.007911 0.012442
485 0.378586  8.766 0.007893 0.012467
486 0.390807  9.253 0.007897 0.012526
487 0.383598  9.740 0.007950 0.012536
488 0.379510  8.766 0.007973 0.012678
489 0.382231  9.740 0.008029 0.012767
490 0.384041  8.766 0.008012 0.012776
491 0.382954  9.253 0.008102 0.012846
492 0.384827  9.253 0.008098 0.012816
493 0.383923  8.279 0.008166 0.012877
494 0.386113  8.279 0.008124 0.012879
495 0.397997 10.227 0.008240 0.013050
496 0.386112 10.227 0.008222 0.013020
497 0.400080  9.253 0.008300 0.013086
498 0.387747  9.253 0.008274 0.013213
499 0.389076  9.253 0.008342 0.013362
500 0.388787 10.227 0.008356 0.013223
